"ISO3","Year","Region","country","iso3c","Population","UrbanPopulation","BirthRatePer1K","FertilityRate","PrimarySchoolAge","TotalTrade","FDIIn","PublicEdExpend","PublicHealthExpend","WomenBusLawIndex","MilitaryExpenditures","CO2Emissions"
"RWA",2019,"Sub-Saharan Africa","Rwanda","RWA",12835028,17.313,30.776,3.939,7,57.9923275443865,2.54363065684298,3.23868060112,2.50311065,81.25,1.19677367403908,0.113057797770289
"WSM",2019,"East Asia & Pacific","Samoa","WSM",211905,18.056,27.895,4.047,5,83.3310820410377,-0.238656491573745,4.39581727981567,4.62225151,75,NA,1.31521200537977
"SMR",2019,"Europe & Central Asia","San Marino","SMR",34178,97.368,6.7,NA,6,307.264778085553,NA,3.37969994544983,7.38694096,80,NA,NA
"STP",2019,"Sub-Saharan Africa","Sao Tome and Principe","STP",214599,73.598,28.917,3.964,6,NA,5.85791807167711,5.89931058883667,2.37431169,83.125,NA,0.6533115252168
"SAU",2019,"Middle East & North Africa","Saudi Arabia","SAU",35827362,84.065,18.451,2.504,6,60.1981894249545,0.544093215724094,NA,NA,70.625,8.13356689975746,14.7030166496769
"SEN",2019,"Sub-Saharan Africa","Senegal","SEN",16000781,47.653,33.47,4.517,6,64.2362506061005,4.55247618583037,5.44944429397583,1.05768847,63.75,1.53113424194311,0.768574983933597
"SRB",2019,"Europe & Central Asia","Serbia","SRB",6945235,56.26,9.3,1.52,7,111.954597500673,8.28646410409572,3.61647009849548,5.05642891,93.75,2.21441908263068,6.62757991630233
"SYC",2019,"Sub-Saharan Africa","Seychelles","SYC",97625,57.119,16.4,2.36,6,196.972328714042,15.6274892674152,4.05055141448975,3.54460716,76.25,1.28748760895455,6.09782330345711
"SLE",2019,"Sub-Saharan Africa","Sierra Leone","SLE",8046828,42.484,32.549,4.192,6,56.1906488750949,8.39920004737159,7.4470100402832,1.23889363,63.125,0.672477267518061,0.129094346244259
"SGP",2019,"East Asia & Pacific","Singapore","SGP",5703569,100,8.8,1.14,6,321.703497216311,27.9412497426965,2.72968006134033,2.28311157,82.5,2.77012373006203,7.91841038479591
"SXM",2019,"Latin America & Caribbean","Sint Maarten (Dutch part)","SXM",41608,100,9.6,1.601,6,NA,5.24677626460558,NA,NA,NA,NA,NA
"SVK",2019,"Europe & Central Asia","Slovak Republic","SVK",5454147,53.729,10.5,1.57,6,183.493447095806,2.1566313678747,4.27319002151489,5.47591448,94.375,1.70483154448324,5.68970729978492
"SVN",2019,"Europe & Central Asia","Slovenia","SVN",2088385,54.822,9.3,1.61,6,158.638466880546,3.95600273865327,4.8964900970459,6.16823053,93.75,1.0543316103123,6.54333372438511
"SLB",2019,"East Asia & Pacific","Solomon Islands","SLB",674993,24.21,30.762,4.104,6,82.9983376152335,2.02495081496878,NA,3.36097002,56.875,NA,0.451560238402472
"SOM",2019,"Sub-Saharan Africa","Somalia","SOM",15981300,45.554,44.564,6.531,6,69.572186456566,4.74500569821254,0.270661741495132,NA,46.875,NA,0.041029202880867
"ZAF",2019,"Sub-Saharan Africa","South Africa","ZAF",58087055,66.856,21.276,2.475,7,53.8979964086103,1.31407752294385,5.92770004272461,4.81728697,88.125,0.884244501867417,7.68890762322173
